Microflip
ts|accX|accY|accZ|gravX|gravY|gravZ|gyroX|gyroY|gyroZ
12494.52949|-0.0720114932687|-0.0483561829573|0.054626211717|0.306081493269|-0.898303817043|-10.0822462117|0.23407|-0.94666|-10.02762
12494.549448|0.0747363800485|0.017980362782|-0.0414253412122|0.330993619952|-0.892310362782|-10.0960546588|0.40573|-0.87433|-10.13748
12494.569376|0.0228647850364|-0.0120372279135|0.0245509940908|0.338615214964|-0.896322772087|-10.0878709941|0.36148|-0.90836|-10.06332
12494.589335|-0.0345789112227|-0.0715104209351|0.121980745568|0.327088911223|-0.920159579065|-10.0472107456|0.29251|-0.99167|-9.92523
12494.609293|-0.058206683417|0.0534821842987|0.0517730591761|0.307686683417|-0.902332184299|-10.0299530592|0.24948|-0.84885|-9.97818
12494.629221|0.000519987437217|0.076966638224|-0.101705205618|0.307860012563|-0.876676638224|-10.0638547944|0.30838|-0.79971|-10.16556
12494.64918|0.0186974905779|0.049939978668|-0.00646890421345|0.314092509422|-0.860029978668|-10.0660110958|0.33279|-0.81009|-10.07248
12494.669138|-0.0375843820666|-0.010035015999|0.0582083218399|0.301564382067|-0.863374984001|-10.0466083218|0.26398|-0.87341|-9.9884
12494.689097|-0.00655828654992|-0.0593737619992|0.0764987413799|0.29937828655|-0.883166238001|-10.0211087414|0.29282|-0.94254|-9.94461
12494.709025|-0.000343714912443|0.0918871785006|-0.067598443965|0.299263714912|-0.852537178501|-10.043641556|0.29892|-0.76065|-10.11124
12494.728983|-0.0187977861843|0.0359528838754|-0.0505788329738|0.292997786184|-0.840552883875|-10.060501167|0.2742|-0.8046|-10.11108
12494.748942|-0.0327508396382|-0.0133178370934|-0.0342741247303|0.282080839638|-0.844992162907|-10.0719258753|0.24933|-0.85831|-10.1062
12494.7689|-0.0466506297287|-0.0319558778201|0.0261344064522|0.266530629729|-0.85564412218|-10.0632144065|0.21988|-0.8876|-10.03708
12494.788828|-0.00900797229652|0.0161955916349|0.0379158048392|0.263527972297|-0.850245591635|-10.0505758048|0.25452|-0.83405|-10.01266
12494.808787|0.0783840207776|0.137119193726|-0.197013146371|0.289655979222|-0.804539193726|-10.1162468536|0.36804|-0.66742|-10.31326
12494.828745|0.0619905155832|0.0439043952947|-0.125904859778|0.310319484417|-0.789904395295|-10.1582151402|0.37231|-0.746|-10.28412
12494.848704|-0.0572996133126|-0.131981703529|0.00193135516653|0.291219613313|-0.833898296471|-10.1575713552|0.23392|-0.96588|-10.15564
12494.868632|-0.0251247099844|-0.172801277647|0.0452785163749|0.282844709984|-0.891498722353|-10.1424785164|0.25772|-1.0643|-10.0972
12494.88859|-0.0147260324883|-0.0671184582351|0.0415113872812|0.277936032488|-0.913871541765|-10.1286413873|0.26321|-0.98099|-10.08713
12494.908549|-0.0108120243662|-0.0134838436763|0.00916604046088|0.274332024366|-0.918366156324|-10.1255860405|0.26352|-0.93185|-10.11642
12494.928507|-0.0339765182747|-0.0469678827572|0.0770220303457|0.263006518275|-0.934022117243|-10.0999120303|0.22903|-0.98099|-10.02289
12494.948466|-0.084184888706|-0.0309884120679|0.0732165227592|0.234944888706|-0.944351587932|-10.0755065228|0.15076|-0.97534|-10.00229
12494.968394|-0.0518136665295|0.0171536909491|0.0217248920694|0.21767366653|-0.938633690949|-10.0682648921|0.16586|-0.92148|-10.04654
12494.988352|-0.00578524989713|0.0272877682118|0.00496116905208|0.215745249897|-0.929537768212|-10.0666111691|0.20996|-0.90225|-10.06165
12495.008311|0.0469310625771|0.00547332615885|-0.0190491232109|0.231388937423|-0.927713326159|-10.0729608768|0.27832|-0.92224|-10.09201
12495.028239|0.0275332969329|-0.0438500053809|0.0446481575918|0.240566703067|-0.942329994619|-10.0580781576|0.2681|-0.98618|-10.01343
12495.048197|0.0616149726996|0.0626774959644|-0.0588688818062|0.2611050273|-0.921437495964|-10.0777011182|0.32272|-0.85876|-10.13657
12495.068156|-0.0206212704753|-0.0667518780267|0.0409958386454|0.254231270475|-0.943688121973|-10.0640358386|0.23361|-1.01044|-10.02304
12495.088084|-0.00756845285645|0.0235260914799|0.00145187898404|0.251708452856|-0.93584609148|-10.063551879|0.24414|-0.91232|-10.0621
12495.108042|-0.0352038396423|-0.01543043139|0.071356409238|0.239973839642|-0.94098956861|-10.0397664092|0.20477|-0.95642|-9.96841
12495.128001|-0.0591328797318|0.0329471764575|0.0282198069285|0.220262879732|-0.930007176457|-10.0303598069|0.16113|-0.89706|-10.00214
12495.147959|0.0183653402012|0.0758603823431|-0.0531076448036|0.226384659799|-0.904720382343|-10.0480623552|0.24475|-0.82886|-10.10117
12495.167887|-0.0788059948491|-0.0713922132427|0.104596766397|0.200115994849|-0.928517786757|-10.0131967664|0.12131|-0.99991|-9.9086
12495.187846|-0.0450269961368|-0.141894159932|0.055790074798|0.185106996137|-0.975815840068|-9.9946000748|0.14008|-1.11771|-9.93881
12495.207804|-0.0147727471026|-0.007315619949|0.0457350560985|0.180182747103|-0.978254380051|-9.9793550561|0.16541|-0.98557|-9.93362
12495.227763|-0.024819560327|0.130930785038|-0.0202912079261|0.171909560327|-0.934610785038|-9.98611879207|0.14709|-0.80368|-10.00641
12495.247691|-0.0673646702452|-0.0632769112213|-0.00434340594461|0.149454670245|-0.955703088779|-9.98756659406|0.08209|-1.01898|-9.99191
12495.267649|-0.0655160026839|-0.084192683416|0.0262624455415|0.127616002684|-0.983767316584|-9.97881244554|0.0621|-1.06796|-9.95255
12495.287577|0.0247979979871|0.013760487438|-0.0766556658438|0.135882002013|-0.979180487438|-10.0043643342|0.16068|-0.96542|-10.08102
12495.307535|0.0664334984903|0.0392703655785|-0.0431892493829|0.15802650151|-0.966090365579|-10.0187607506|0.22446|-0.92682|-10.06195
12495.327494|-0.0529473761323|0.0157202741839|-0.0461244370372|0.140377376132|-0.960850274184|-10.034135563|0.08743|-0.94513|-10.08026
12495.347422|0.000459467900791|-0.0106422943621|-0.0313908277779|0.140530532099|-0.964397705638|-10.0445991722|0.14099|-0.97504|-10.07599
12495.36738|0.000577100925593|0.0250932792284|-0.0234306208334|0.140722899074|-0.956033279228|-10.0524093792|0.1413|-0.93094|-10.07584
12495.387339|0.0407153256942|0.0149274594213|-0.0585379656251|0.154294674306|-0.951057459421|-10.0719220344|0.19501|-0.93613|-10.13046
12495.407297|-0.0326360057294|-0.117316905434|0.0706515257812|0.143416005729|-0.990163094566|-10.0483715258|0.11078|-1.10748|-9.97772
12495.427225|0.023815495703|0.0112298209245|-0.0799938556641|0.151354504297|-0.986419820924|-10.0750361443|0.17517|-0.97519|-10.15503
12495.447184|0.0919091217772|0.107302365693|-0.126827891748|0.181990878223|-0.950652365693|-10.1173121083|0.2739|-0.84335|-10.24414
12495.467142|0.0613718413329|0.03973677427|0.00810158118895|0.202448158667|-0.93740677427|-10.1146115812|0.26382|-0.89767|-10.10651
12495.48707|0.0044938809997|-0.143004919297|0.109193685892|0.203946119|-0.985075080703|-10.0782136859|0.20844|-1.12808|-9.96902
12495.507029|-0.0481320892502|-0.121443689473|0.0934527644188|0.18790208925|-1.02555631053|-10.0470627644|0.13977|-1.147|-9.95361
12495.526987|0.0159734330623|0.00424223289517|-0.000177926685913|0.193226566938|-1.0241422329|-10.0471220733|0.2092|-1.0199|-10.0473
12495.546946|0.0267400747967|0.0290491746714|-0.0666284450144|0.202139925203|-1.01445917467|-10.069331555|0.22888|-0.98541|-10.13596
12495.566904|-0.0317849439024|-0.0588981189965|-0.00545133376083|0.191544943902|-1.034091881|-10.0711486662|0.15976|-1.09299|-10.0766
12495.586832|-0.00507370792683|0.0217439107526|0.0365389996794|0.189853707927|-1.02684391075|-10.0589689997|0.18478|-1.0051|-10.02243
12495.606791|0.0150797190549|0.0860054330645|0.0311767497595|0.194880280945|-0.998175433064|-10.0485767498|0.20996|-0.91217|-10.0174
12495.626749|0.000209789291158|0.0611815747984|-0.0577524376804|0.194950210709|-0.977781574798|-10.0678275623|0.19516|-0.9166|-10.12558
12495.646708|0.0105748419684|-0.0349038189012|-0.10648682826|0.198475158032|-0.989416181099|-10.1033231717|0.20905|-1.02432|-10.20981
12495.666666|-0.00294386852372|-0.0115303641759|-0.0242451211952|0.197493868524|-0.993259635824|-10.1114048788|0.19455|-1.00479|-10.13565
12495.686625|-0.00953540139279|-0.0120827731319|-0.0882188408964|0.194315401393|-0.997287226868|-10.1408111591|0.18478|-1.00937|-10.22903
12495.706553|0.135213448955|-0.087564579849|-0.0311466306723|0.239386551045|-1.02647542015|-10.1511933693|0.3746|-1.11404|-10.18234
12495.726511|-0.0343174132834|-0.0832984348867|0.0924550269958|0.227947413283|-1.05424156511|-10.120375027|0.19363|-1.13754|-10.02792
12495.74647|-0.000215559962584|-0.095781326165|0.0799837702468|0.227875559963|-1.08616867383|-10.0937137702|0.22766|-1.18195|-10.01373
12495.766428|-0.0104591699719|0.0349415053762|0.0494578276851|0.224389169972|-1.07452150538|-10.0772278277|0.21393|-1.03958|-10.02777
12495.786387|0.025688122521|0.0995636290322|0.0111133707638|0.232951877479|-1.04133362903|-10.0735233708|0.25864|-0.94177|-10.06241
12495.806315|-0.0143789081092|-0.0172247782259|0.0637225280729|0.228158908109|-1.04707522177|-10.0522825281|0.21378|-1.0643|-9.98856
12495.826273|-0.0325341810819|0.0278214163306|0.0444768960547|0.217314181082|-1.03780141633|-10.0374568961|0.18478|-1.00998|-9.99298
12495.846232|-0.00185563581143|0.0905635622479|0.011270172041|0.216695635811|-1.00761356225|-10.033700172|0.21484|-0.91705|-10.02243
12495.86619|-0.0676467268586|0.038965171686|0.0423301290307|0.194146726859|-0.994625171686|-10.019590129|0.1265|-0.95566|-9.97726
12495.886149|-0.0289925451439|-0.0150636212355|0.0165225967731|0.184482545144|-0.999646378764|-10.0140825968|0.15549|-1.01471|-9.99756
12495.906077|-0.0288394088579|0.0217772840734|0.0310444475798|0.174869408858|-0.992387284073|-10.0037344476|0.14603|-0.97061|-9.97269
12495.926035|-0.0550495566435|-0.045924536945|0.0565908356848|0.156519556643|-1.00769546306|-9.98487083568|0.10147|-1.05362|-9.92828
12495.945994|0.0249753325174|0.0129340972913|-0.00608187323636|0.164844667483|-1.00338409729|-9.98689812676|0.18982|-0.99045|-9.99298
12495.965952|-0.0364310006119|-0.0118094270316|-0.0261914049273|0.152701000612|-1.00732057297|-9.99562859507|0.11627|-1.01913|-10.02182
12495.985911|-0.060398250459|-0.0122920702737|-0.00819855369546|0.132568250459|-1.01141792973|-9.9983614463|0.07217|-1.02371|-10.00656
12496.005869|0.00254381215578|0.0122909472948|0.0303535847284|0.133416187844|-1.00732094729|-9.98824358473|0.13596|-0.99503|-9.95789
12496.025797|0.0715978591168|0.0163132104711|-0.107119811454|0.157282140883|-1.00188321047|-10.0239501885|0.22888|-0.98557|-10.13107
12496.045756|-0.0129016056624|-0.0828650921467|-0.0431473585903|0.152981605662|-1.02950490785|-10.0383326414|0.14008|-1.11237|-10.08148
12496.065714|-0.0358887042468|-0.13927881911|0.0155869810573|0.141018704247|-1.07593118089|-10.0331369811|0.10513|-1.21521|-10.01755
12496.085642|0.00295597181491|-0.0312141143325|0.00803023579297|0.142004028185|-1.08633588567|-10.0304602358|0.14496|-1.11755|-10.02243
12496.105601|0.101891978861|0.0753494142506|-0.0759148231553|0.175968021139|-1.06121941425|-10.0557651768|0.27786|-0.98587|-10.13168
12496.125559|0.0538739841459|-0.024285439312|-0.0311886173665|0.193926015854|-1.06931456069|-10.0661613826|0.2478|-1.0936|-10.09735
12496.145487|-0.0517170118906|-0.068906579484|-0.00782896302484|0.176687011891|-1.09228342052|-10.068771037|0.12497|-1.16119|-10.0766
12496.165446|-0.00560025891794|-0.026389934613|0.0197632777314|0.174820258918|-1.10108006539|-10.0621832777|0.16922|-1.12747|-10.04242
